"State","Race","Date","DateAsDate","NewCases","NewDeaths","NewCases_Lag_1","NewCases_Lag_2","NewCases_Lag_3","NewCases_Lag_4"
"AK","AIAN",20200419,2020-04-19,1,0,NA,NA,NA,NA
"AK","AIAN",20200426,2020-04-26,4,0,1,NA,NA,NA
"AK","AIAN",20200503,2020-05-03,4,0,4,1,NA,NA
"AK","AIAN",20200510,2020-05-10,2,0,4,4,1,NA
"AK","AIAN",20200517,2020-05-17,5,0,2,4,4,1
"AK","AIAN",20200524,2020-05-24,4,0,5,2,4,4
"AK","AIAN",20200531,2020-05-31,8,0,4,5,2,4
"AK","AIAN",20200607,2020-06-07,18,0,8,4,5,2
"AK","AIAN",20200614,2020-06-14,12,0,18,8,4,5
"AK","AIAN",20200621,2020-06-21,12,0,12,18,8,4
"AK","AIAN",20200628,2020-06-28,18,0,12,12,18,8
"AK","AIAN",20200705,2020-07-05,30,0,18,12,12,18
"AK","AIAN",20200712,2020-07-12,46,0,30,18,12,12
"AK","AIAN",20200719,2020-07-19,70,1,46,30,18,12
"AK","AIAN",20200726,2020-07-26,71,1,70,46,30,18
"AK","AIAN",20200802,2020-08-02,96,1,71,70,46,30
"AK","AIAN",20200809,2020-08-09,74,1,96,71,70,46
"AK","AIAN",20200816,2020-08-16,109,1,74,96,71,70
"AK","AIAN",20200823,2020-08-23,99,0,109,74,96,71
"AK","AIAN",20200830,2020-08-30,120,3,99,109,74,96
"AK","AIAN",20200906,2020-09-06,131,1,120,99,109,74
"AK","AIAN",20200913,2020-09-13,129,2,131,120,99,109
"AK","AIAN",20200920,2020-09-20,138,0,129,131,120,99
"AK","AIAN",20200927,2020-09-27,261,3,138,129,131,120
"AK","AIAN",20201004,2020-10-04,407,2,261,138,129,131
"AK","AIAN",20201011,2020-10-11,336,0,407,261,138,129
"AK","AIAN",20201018,2020-10-18,301,3,336,407,261,138
"AK","AIAN",20201025,2020-10-25,552,0,301,336,407,261
"AK","AIAN",20201101,2020-11-01,484,3,552,301,336,407
"AK","AIAN",20201108,2020-11-08,738,0,484,552,301,336
