"State","Race","Date","DateAsDate","NewCases","NewDeaths","NewCases_Lag_1","NewCases_Lag_2","NewCases_Lag_3","NewCases_Lag_4"
"AK","AIAN",20200422,2020-04-22,5,0,NA,NA,NA,NA
"AK","AIAN",20200429,2020-04-29,1,0,5,NA,NA,NA
"AK","AIAN",20200506,2020-05-06,3,0,1,5,NA,NA
"AK","AIAN",20200513,2020-05-13,2,0,3,1,5,NA
"AK","AIAN",20200520,2020-05-20,7,0,2,3,1,5
"AK","AIAN",20200527,2020-05-27,5,0,7,2,3,1
"AK","AIAN",20200603,2020-06-03,18,0,5,7,2,3
"AK","AIAN",20200610,2020-06-10,15,0,18,5,7,2
"AK","AIAN",20200617,2020-06-17,9,0,15,18,5,7
"AK","AIAN",20200624,2020-06-24,11,0,9,15,18,5
"AK","AIAN",20200701,2020-07-01,24,0,11,9,15,18
"AK","AIAN",20200708,2020-07-08,28,0,24,11,9,15
"AK","AIAN",20200715,2020-07-15,63,0,28,24,11,9
"AK","AIAN",20200722,2020-07-22,78,1,63,28,24,11
"AK","AIAN",20200729,2020-07-29,84,4,78,63,28,24
"AK","AIAN",20200805,2020-08-05,95,1,84,78,63,28
"AK","AIAN",20200812,2020-08-12,59,1,95,84,78,63
"AK","AIAN",20200819,2020-08-19,120,0,59,95,84,78
"AK","AIAN",20200826,2020-08-26,85,3,120,59,95,84
"AK","AIAN",20200902,2020-09-02,120,1,85,120,59,95
"AK","AIAN",20200909,2020-09-09,144,0,120,85,120,59
"AK","AIAN",20200916,2020-09-16,135,2,144,120,85,120
"AK","AIAN",20200923,2020-09-23,186,0,135,144,120,85
"AK","AIAN",20200930,2020-09-30,369,3,186,135,144,120
"AK","AIAN",20201007,2020-10-07,349,2,369,186,135,144
"AK","AIAN",20201014,2020-10-14,312,2,349,369,186,135
"AK","AIAN",20201021,2020-10-21,333,1,312,349,369,186
"AK","AIAN",20201028,2020-10-28,589,0,333,312,349,369
"AK","AIAN",20201104,2020-11-04,575,3,589,333,312,349
"AK","AIAN",20201111,2020-11-11,822,4,575,589,333,312
"AK","AIAN",20201118,2020-11-18,909,0,822,575,589,333
"AK","AIAN",20201125,2020-11-25,757,10,909,822,575,589
"AK","AIAN",20201202,2020-12-02,614,3,757,909,822,575
"AK","AIAN",20201209,2020-12-09,692,11,614,757,909,822
"AK","AIAN",20201216,2020-12-16,744,12,692,614,757,909
"AK","AIAN",20201223,2020-12-23,395,7,744,692,614,757
"AK","AIAN",20201230,2020-12-30,323,-1,395,744,692,614
"AK","AIAN",20210106,2021-01-06,701,7,323,395,744,692
"AK","AIAN",20210113,2021-01-13,628,9,701,323,395,744
"AK","AIAN",20210120,2021-01-20,449,6,628,701,323,395
"AK","AIAN",20210127,2021-01-27,381,4,449,628,701,323
"AK","AIAN",20210203,2021-02-03,260,4,381,449,628,701
